Year,Movie,URL
1941,Raj Nartaki,https://en.wikipedia.org/wiki/Raj_Nartaki
1941,Red Signal,https://en.wikipedia.org/wiki/Red_Signal
1942,Apna Paraya,https://en.wikipedia.org/wiki/Apna_Paraya
1942,Apna Ghar,https://en.wikipedia.org/wiki/Apna_Ghar
1942,Arzoo,https://en.wikipedia.org/wiki/Arzoo_(1942_film)
1942,Bahana,https://en.wikipedia.org/wiki/Bahana_(1942_film)
1942,Barat,https://en.wikipedia.org/wiki/Barat_(film)
1942,Bhakta Kabir,https://en.wikipedia.org/wiki/Bhakta_Kabir
1942,Bharat Milap,https://en.wikipedia.org/wiki/Bharat_Milap
1942,Blackout,https://en.wikipedia.org/wiki/Blackout_(1942_film)
1942,Chauranghee,https://en.wikipedia.org/wiki/Chauranghee
1942,Chudiyan,https://en.wikipedia.org/wiki/Chudiyan
1942,Das Baje,https://en.wikipedia.org/wiki/Das_Baje
1942,Dillagi,https://en.wikipedia.org/wiki/Dillagi_(1942_film)
1942,Dukh Sukh,https://en.wikipedia.org/wiki/Dukh_Sukh
1942,Duniya Ek Tamasha,https://en.wikipedia.org/wiki/Duniya_Ek_Tamasha
1942,Duniya Tumhari Hai,https://en.wikipedia.org/wiki/Duniya_Tumhari_Hai
1942,Ek Raat,https://en.wikipedia.org/wiki/Ek_Raat
1942,Garib,https://en.wikipedia.org/wiki/Garib_(film)
1942,Haso Haso Ai Duniyawallaon,https://en.wikipedia.org/wiki/Haso_Haso_Ai_Duniyawallaon
1942,Huma Gun Anmogaldi,https://en.wikipedia.org/wiki/Huma_Gun_Anmogaldi
1942,Jawan Ki Pukar,https://en.wikipedia.org/wiki/Jawan_Ki_Pukar
1942,Jawani,https://en.wikipedia.org/wiki/Jawani_(film)
1942,The Jungle Princess,https://en.wikipedia.org/wiki/The_Jungle_Princess_(1942_film)
1942,Khandaan,https://en.wikipedia.org/wiki/Khandaan_(1942_film)
1942,Kiski Biwi,https://en.wikipedia.org/wiki/Kiski_Biwi
1942,Kunwara Baap,https://en.wikipedia.org/wiki/Kunwara_Baap_(1942_film)
1942,Lalaji,https://en.wikipedia.org/wiki/Lalaji
1942,Mahakavi Kalidas,https://en.wikipedia.org/wiki/Mahakavi_Kalidas_(1942_film)
1942,Malan,https://en.wikipedia.org/wiki/Malan_(film)
1942,Mamta,https://en.wikipedia.org/wiki/Mamta_(1942_film)
1942,Mata,https://en.wikipedia.org/wiki/Mata_(1942_film)
1942,Motorwali,https://en.wikipedia.org/wiki/Motorwali
1942,My Village,https://en.wikipedia.org/wiki/My_Village
1942,Nai Duniya,https://en.wikipedia.org/wiki/Nai_Duniya
1942,Nari,https://en.wikipedia.org/wiki/Nari_(1942_film)
1942,Nazrana,https://en.wikipedia.org/wiki/Nazrana_(1942_film)
1942,Raja Rani,https://en.wikipedia.org/wiki/Raja_Rani_(1942_film)
1942,Return of Toofan Mail,https://en.wikipedia.org/wiki/Return_of_Toofan_Mail
1942,Roti,https://en.wikipedia.org/wiki/Roti_(1942_film)
1942,Sachcha Sapna,https://en.wikipedia.org/wiki/Sachcha_Sapna
1942,Savera,https://en.wikipedia.org/wiki/Savera_(1942_film)
1942,Sewa,https://en.wikipedia.org/wiki/Sewa_(film)
1942,Sharda,https://en.wikipedia.org/wiki/Sharda_(1942_film)
1942,Sheikh Chilli,https://en.wikipedia.org/wiki/Sheikh_Chilli_(film)
1942,Sukhi Jeevan,https://en.wikipedia.org/wiki/Sukhi_Jeevan
1942,Swaminath,https://en.wikipedia.org/wiki/Swaminath
1942,Swapna,https://en.wikipedia.org/wiki/Swapna_(1942_film)
1943,Aabroo,https://en.wikipedia.org/wiki/Aabroo_(1943_film)
1943,Aadab Arz,https://en.wikipedia.org/wiki/Aadab_Arz
